,Reference,Year.published,Publication,Type.of.study,Year.study,Season,Location,Island.or.Mainland,Density..rats.ha...Mean..or.estimate..and.range,Mean.probability.survival.to.next.season,Dispersal.distance..metres.,Sex.ratio..female.male.,Sex.of.dispersers,Density.dependence,Male.home.range..ha..mean.and.range.,Female.home.range..ha..mean.and.range.,Movement.speed..metres.min..mean.and.range.,Number.of.embryos..mean.and.range.,Number.of.placental.scars..mean.and.range.,spp
77,Dick,1985,PhD Thesis,Original research,1984,Autumn ,Kapiti Island,Island,Derived: 25.5,NA,,1:01,NA,NA,,NA,,7.5,,Nrat
88,Moors,1985,NZJE,Original research,1977-1981,All,Noises and Motukawau Islands,Island,4.2,NA,,1.77:1,NA,NA,1.2 (0.8-1.8),NA,,,16.4 (6-31),Nrat
31,Brockie and Moeed,1986,Oecologia,Original research,1966-1968,All,Orongorongo Valley,Mainland,0.7-3.7,NA,NA,,,,,,,,,Srat
41,Hickson et al,1986,NZJE,Original research,1984,Summer,Stewart Island,Island,2 (1.8-2.3),NA,NA,,,,0.37,0.56 (0.24-0.81),,,,Srat
84,Hickson et al.,1986,NZJE,Original research,1984,Spring,Stewart Island,Island,0.17-0.21,NA,,,NA,NA,4,0.55,,,,Nrat
87,Moller & Tilley,1986,NZJE,Original research,1984,Summer,Bay of Islands,Island,,NA,,1:01,NA,NA,,NA,,6.9 (SE = 0.26),,Nrat
4,Efford et al.,1988,Journal of Zoology,Original research,1977-1978,Summer and Winter,Mana Island,Island,,NA,NA,01:01.2,NA,NA,NA,NA,NA,6.6 (5-8),NA,mice
42,Hooker & Innes,1995,NZJE,Original research,1991-1992,Summer,Rotoheu Forest,Mainland,6.2,NA,NA,,,,1.52 (SE = 0.28),1.15 (SE = 0.29),,,,Srat
6,Miller & Miller,1995,NZJE,Original research,1990-1191,All,Rangitoto Island,Island,,NA,NA,1:01,NA,NA,NA,NA,NA,6.7 (5-10),NA,mice
58,Miller & Miller,1995,NZJE,Original research,1990-1991,All,Rangitoto,Island,,NA,NA,,,No DD in home range size on NZ islands,,,,7,7.4 (5-12),Srat
